step,train_loss,train_loss_timestamp,train_action_l1,train_action_l1_timestamp,eval_action_l1,eval_action_l1_timestamp,lr,lr_timestamp
4500,0.1038349047303199,1781287770000.0,0.1008031889796257,1781287770000.0,,,0.0001,1781287770000.0
4550,0.0979834347963333,1781287785000.0,0.0967640504240989,1781287785000.0,,,0.0001,1781287785000.0
4600,0.0905992463231086,1781287801000.0,0.0880694910883903,1781287801000.0,,,0.0001,1781287801000.0
4650,0.1004155948758125,1781287815000.0,0.0965460985898971,1781287815000.0,,,0.0001,1781287815000.0
4700,0.0938969105482101,1781287830000.0,0.0918872132897377,1781287830000.0,,,0.0001,1781287830000.0
4750,0.0985708683729171,1781287844000.0,0.0959380194544792,1781287844000.0,,,0.0001,1781287844000.0
4800,0.0992497354745864,1781287859000.0,0.0970497354865074,1781287859000.0,,,0.0001,1781287859000.0
4850,0.0964387655258178,1781287873000.0,0.0939439982175827,1781287873000.0,,,0.0001,1781287873000.0
4900,0.0958563983440399,1781287887000.0,0.0939315110445022,1781287887000.0,,,0.0001,1781287887000.0
4950,0.0990887284278869,1781287901000.0,0.096080332994461,1781287901000.0,,,0.0001,1781287901000.0
5000,0.0962984040379524,1781287917000.0,0.0943165868520736,1781287917000.0,,,0.0001,1781287917000.0
5050,0.0911862328648567,1781287931000.0,0.0894688069820404,1781287931000.0,,,0.0001,1781287931000.0
5100,0.0938738286495208,1781287946000.0,0.0911411345005035,1781287946000.0,,,0.0001,1781287946000.0
5150,0.0901534631848335,1781287960000.0,0.0868642032146453,1781287960000.0,,,0.0001,1781287960000.0
5200,0.0901917964220047,1781287975000.0,0.0861543491482734,1781287975000.0,,,0.0001,1781287975000.0
5250,0.091770514845848,1781287989000.0,0.0889244899153709,1781287989000.0,,,0.0001,1781287989000.0
5300,0.0918712317943573,1781288003000.0,0.0898638293147087,1781288003000.0,,,0.0001,1781288003000.0
5350,0.0874240696430206,1781288018000.0,0.0850157067179679,1781288018000.0,,,0.0001,1781288018000.0
5400,0.0904344692826271,1781288031000.0,0.088270790874958,1781288031000.0,,,0.0001,1781288031000.0
5450,0.0851592049002647,1781288046000.0,0.0834899991750717,1781288046000.0,,,0.0001,1781288046000.0
5500,0.0898037776350975,1781288060000.0,0.0878165736794471,1781288060000.0,,,0.0001,1781288060000.0
5550,0.0828432515263557,1781288076000.0,0.0814557000994682,1781288076000.0,,,0.0001,1781288076000.0
5600,0.0924214050173759,1781288090000.0,0.0910835936665535,1781288090000.0,,,0.0001,1781288090000.0
5650,0.0895527452230453,1781288105000.0,0.0878878384828567,1781288105000.0,,,0.0001,1781288105000.0
5700,0.0826597735285759,1781288119000.0,0.0809021219611167,1781288119000.0,,,0.0001,1781288119000.0
5750,0.0943182930350303,1781288134000.0,0.0917641371488571,1781288134000.0,,,0.0001,1781288134000.0
5800,0.0851050466299057,1781288147000.0,0.083095908164978,1781288147000.0,,,0.0001,1781288147000.0
